ticker,company_name,sector,fiscal_year,period_ending,year,revenue_musd,revenue_growth_pct,net_income_musd,net_profit_margin_pct,eps_diluted,pe_ratio,debt_to_equity,roe_pct,negative_equity
AAPL,Apple Inc.,Hardware,FY2022,2022-09-24,2022,394328.0,7.79,99803.0,25.31,6.11,24.22,2.61,175.46,0
AAPL,Apple Inc.,Hardware,FY2023,2023-09-30,2023,383285.0,-2.8,96995.0,25.31,6.13,27.6,1.99,171.95,0
AAPL,Apple Inc.,Hardware,FY2024,2024-09-28,2024,391035.0,2.02,93736.0,23.97,6.08,36.95,2.09,157.41,0
AAPL,Apple Inc.,Hardware,FY2025,2025-09-27,2025,416161.0,6.43,112010.0,26.92,7.46,33.85,1.52,171.42,0
ACN,Accenture plc,IT Services,FY2022,2022-08-31,2022,61594.0,21.89,6877.0,11.17,10.71,26.53,0.15,32.63,0
ACN,Accenture plc,IT Services,FY2023,2023-08-31,2023,64112.0,4.09,6872.0,10.72,10.77,29.72,0.12,28.47,0
ACN,Accenture plc,IT Services,FY2024,2024-08-31,2024,64896.0,1.22,7265.0,11.19,11.44,29.48,0.14,26.67,0
ACN,Accenture plc,IT Services,FY2025,2025-08-31,2025,69673.0,7.36,7678.0,11.02,12.15,21.09,0.25,25.51,0
ADBE,Adobe Inc.,Software,FY2022,2022-12-02,2022,17606.0,11.54,4756.0,27.01,10.1,33.39,0.33,32.97,0
ADBE,Adobe Inc.,Software,FY2023,2023-12-01,2023,19409.0,10.24,5428.0,27.97,11.82,51.37,0.25,35.51,0
ADBE,Adobe Inc.,Software,FY2024,2024-11-29,2024,21505.0,10.8,5560.0,25.85,12.36,40.85,0.43,36.31,0
ADBE,Adobe Inc.,Software,FY2025,2025-11-28,2025,23769.0,10.53,7130.0,30.0,16.7,18.8,0.57,55.43,0
AMD,Advanced Micro Devices Inc.,Semiconductors,FY2021,2021-12-25,2021,16434.0,68.33,3162.0,19.24,2.57,,,,0
AMD,Advanced Micro Devices Inc.,Semiconductors,FY2022,2022-12-31,2022,23601.0,43.61,1320.0,5.59,0.84,79.11,0.05,4.24,0
AMD,Advanced Micro Devices Inc.,Semiconductors,FY2023,2023-12-30,2023,22680.0,-3.9,854.0,3.77,0.53,278.85,0.05,1.54,0
AMD,Advanced Micro Devices Inc.,Semiconductors,FY2024,2024-12-28,2024,25785.0,13.69,1641.0,6.36,1.0,123.8,0.04,2.89,0
AMD,Advanced Micro Devices Inc.,Semiconductors,FY2025,2025-12-27,2025,34639.0,34.34,4335.0,12.51,2.65,80.74,0.06,7.08,0
AVGO,Broadcom Inc.,Semiconductors,FY2022,2022-10-30,2022,33203.0,20.96,11223.0,33.8,2.65,17.07,1.76,48.2,0
AVGO,Broadcom Inc.,Semiconductors,FY2023,2023-10-29,2023,35819.0,7.88,14082.0,39.31,3.3,24.57,1.65,60.31,0
AVGO,Broadcom Inc.,Semiconductors,FY2024,2024-11-03,2024,51574.0,43.98,5895.0,11.43,1.23,133.83,1.02,13.46,0
AVGO,Broadcom Inc.,Semiconductors,FY2025,2025-11-02,2025,63887.0,23.87,23126.0,36.2,4.77,75.48,0.82,31.05,0
CRM,Salesforce Inc.,Software,FY2022,2022-01-31,2022,26492.0,24.66,1444.0,5.45,1.48,158.69,0.25,2.9,0
CRM,Salesforce Inc.,Software,FY2023,2023-01-31,2023,31352.0,18.34,208.0,0.66,0.21,800.28,0.26,0.36,0
CRM,Salesforce Inc.,Software,FY2024,2024-01-31,2024,34857.0,11.18,4136.0,11.87,4.2,65.79,0.23,7.01,0
CRM,Salesforce Inc.,Software,FY2025,2025-01-31,2025,37895.0,8.72,6197.0,16.35,6.36,52.77,0.2,10.26,0
CRM,Salesforce Inc.,Software,FY2026,2026-01-31,2026,41525.0,9.58,7457.0,17.96,7.8,26.68,0.3,12.4,0
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,FY2022,2022-01-31,2022,1452.0,66.0,-234.8,-16.17,-0.26,,0.75,-24.34,0
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,FY2023,2023-01-31,2023,2241.0,54.4,-183.25,-8.18,-0.2,,0.53,-14.44,0
CRWD,CrowdStrike Holdings Inc.,Cybersecurity,FY2024,2024-01-31,2024,3056.0,36.33,72.18,2.36,0.07,935.1,0.34,3.84,0
